Common Name,Frequency (%)
Red-bellied Woodpecker,0.0614%
Red-headed Woodpecker,0.0603%
Long-tailed Duck,0.0587%
Pygmy Nuthatch,0.0542%
Yellow Rail,0.0492%
Barrow's Goldeneye,0.0484%
Chimney Swift,0.0477%
Smith's Longspur,0.0431%
Black-headed Grosbeak,0.0397%
Gyrfalcon,0.0378%
Western Warbling Vireo,0.0374%
Harlequin Duck,0.0366%
Boreal Owl,0.0317%
Field Sparrow,0.0305%
Greater Sage-Grouse,0.0301%
Black Scoter,0.0294%
Buff-breasted Sandpiper,0.0290%
Pacific Loon,0.0282%
Common Poorwill,0.0267%
Western Flycatcher,0.0259%
Gray-crowned Rosy-Finch,0.0259%
Willow Ptarmigan,0.0214%
Sabine's Gull,0.0202%
Western Cattle-Egret,0.0187%
Dickcissel,0.0187%
Eastern Screech-Owl,0.0176%
Scarlet Tanager,0.0168%
Short-billed Gull,0.0156%
Northern Mockingbird,0.0156%
Northern Parula,0.0156%
Red-throated Loon,0.0153%
Hudsonian Whimbrel,0.0145%
Black-throated Blue Warbler,0.0145%
Northern Cardinal,0.0137%
American Black Duck,0.0133%
Yellow-billed Loon,0.0122%
Green Heron,0.0122%
Eurasian Tree Sparrow,0.0118%
Glossy Ibis,0.0114%
Broad-billed Hummingbird,0.0111%
Sage Thrasher,0.0103%
Common Eider,0.0095%
Phainopepla,0.0095%
Bullock's Oriole,0.0088%
Pine Warbler,0.0088%
American Woodcock,0.0084%
Pacific Wren,0.0084%
Summer Tanager,0.0084%
Tundra Bean-Goose,0.0080%
Prothonotary Warbler,0.0080%
Eastern Whip-poor-will,0.0072%
Snowy Egret,0.0072%
Plumbeous Vireo,0.0072%
Kentucky Warbler,0.0072%
Indigo Bunting,0.0072%
Great Black-backed Gull,0.0069%
Yellow-crowned Night Heron,0.0065%
Townsend's Warbler,0.0065%
Brant,0.0061%
King Eider,0.0061%
Parasitic Jaeger,0.0057%
Ivory Gull,0.0057%
Slaty-backed Gull,0.0057%
Ruff,0.0053%
Black-legged Kittiwake,0.0053%
Northern Pygmy-Owl,0.0053%
Golden-winged Warbler,0.0050%
Lewis's Woodpecker,0.0046%
Eurasian Wigeon,0.0042%
Anna's Hummingbird,0.0042%
Little Gull,0.0042%
Arctic Tern,0.0042%
Scissor-tailed Flycatcher,0.0042%
Red Phalarope,0.0038%
Western Sandpiper,0.0038%
Garganey,0.0034%
Rustic Bunting,0.0034%
Golden-crowned Sparrow,0.0034%
Snowy Plover,0.0030%
American Dipper,0.0030%
Yellow-throated Warbler,0.0030%
Wood Thrush,0.0027%
Painted Bunting,0.0027%
White-winged Dove,0.0023%
Rufous Hummingbird,0.0019%
Tricolored Heron,0.0015%
Curve-billed Thrasher,0.0015%
Brambling,0.0015%
Green-tailed Towhee,0.0015%
Band-tailed Pigeon,0.0011%
Fieldfare,0.0011%
Hooded Warbler,0.0011%
Hepatic Tanager,0.0011%
Blue Grosbeak,0.0011%
Least Tern,0.0008%
Little Blue Heron,0.0008%
Mississippi Kite,0.0008%
Cassin's Vireo,0.0008%
Mountain Chickadee,0.0008%
Blue-gray Gnatcatcher,0.0008%
Cassin's Finch,0.0008%
Black-throated Sparrow,0.0008%
Rock Ptarmigan,0.0004%
Yellow-billed Cuckoo,0.0004%
Costa's Hummingbird,0.0004%
Red-necked Stint,0.0004%
Long-tailed Jaeger,0.0004%
Pomarine Jaeger,0.0004%
Black Guillemot,0.0004%
Ancient Murrelet,0.0004%
Western Gull,0.0004%
American Barn Owl,0.0004%
Western Screech-Owl,0.0004%
Vermilion Flycatcher,0.0004%
Tropical Kingbird,0.0004%
White-eyed Vireo,0.0004%
Steller's Jay,0.0004%
Lesser Goldfinch,0.0004%
Great-tailed Grackle,0.0004%
Prairie Warbler,0.0004%
Tufted Duck,0.0000%
Passenger Pigeon,0.0000%
Calliope Hummingbird,0.0000%
Bar-tailed Godwit,0.0000%
Curlew Sandpiper,0.0000%
Short-tailed Shearwater,0.0000%
Least Bittern,0.0000%
Williamson's Sapsucker,0.0000%
Pinyon Jay,0.0000%
Clark's Nutcracker,0.0000%
Northern Wheatear,0.0000%
Henslow's Sparrow,0.0000%
Eastern Meadowlark,0.0000%
Blue-winged Warbler,0.0000%
Black-throated Gray Warbler,0.0000%
Mute Swan,0.0019%
Chukar,0.0011%
Red Junglefowl,0.0000%
